time,open,high,low,close,volume,ticker
2020-01-30,975.15,977.72,954.0,959.58,181385230,VNINDEX
2020-01-31,959.58,960.96,936.62,936.62,210630210,VNINDEX
2020-02-03,916.6,930.37,891.85,928.14,246486370,VNINDEX
2020-02-04,929.42,934.91,919.33,929.09,178000400,VNINDEX
2020-02-05,934.75,936.33,921.89,925.91,164052070,VNINDEX
2020-02-06,926.66,938.54,925.21,938.54,206133165,VNINDEX
2020-02-07,938.61,943.48,935.94,940.75,165020480,VNINDEX
2020-02-10,934.38,935.87,926.61,930.73,129573270,VNINDEX
2020-02-11,930.73,936.04,930.73,934.67,159265510,VNINDEX
2020-02-12,940.72,943.11,937.34,937.68,187439280,VNINDEX
2020-02-13,937.19,939.1,934.47,938.24,153479610,VNINDEX
2020-02-14,939.28,940.65,936.47,937.45,172195600,VNINDEX
2020-02-17,938.52,938.52,931.66,934.77,149349950,VNINDEX
2020-02-18,934.47,934.98,926.01,927.93,164327840,VNINDEX
2020-02-19,926.41,931.66,925.86,928.76,161801070,VNINDEX
2020-02-20,933.69,938.13,930.41,938.13,183636850,VNINDEX
2020-02-21,938.13,940.53,932.32,933.09,179503790,VNINDEX
2020-02-24,917.49,917.49,903.34,903.34,255965410,VNINDEX
2020-02-25,893.95,909.67,893.95,909.67,186008510,VNINDEX
2020-02-26,901.51,903.27,894.25,895.97,131173700,VNINDEX
2020-02-27,892.15,899.34,889.14,898.44,135468580,VNINDEX
2020-02-28,885.47,887.07,872.46,882.19,184315860,VNINDEX
2020-03-02,878.43,886.45,877.31,884.43,173927240,VNINDEX
2020-03-03,895.39,896.39,890.06,890.61,176373200,VNINDEX
2020-03-04,887.85,889.85,882.83,889.37,195439390,VNINDEX
2020-03-05,892.71,898.43,891.2,893.31,209158850,VNINDEX
2020-03-06,888.96,891.44,882.71,891.44,175600680,VNINDEX
2020-03-09,875.8,875.8,834.67,835.49,273180820,VNINDEX
2020-03-10,813.83,843.28,806.63,837.5,242825240,VNINDEX
2020-03-11,843.52,844.94,794.54,811.35,278303370,VNINDEX
2020-03-12,778.06,778.06,762.12,769.25,311344630,VNINDEX
2020-03-13,750.56,764.69,723.42,761.78,289011560,VNINDEX
2020-03-16,758.28,758.59,737.58,747.86,222784370,VNINDEX
2020-03-17,724.07,750.03,721.84,745.78,202440360,VNINDEX
2020-03-18,747.4,752.65,742.12,747.66,206015830,VNINDEX
2020-03-19,732.35,733.43,714.02,725.94,311215400,VNINDEX
2020-03-20,728.55,729.35,709.73,709.73,198208490,VNINDEX
2020-03-23,694.77,694.77,664.23,666.59,223310850,VNINDEX
2020-03-24,666.59,666.59,652.27,659.21,213831260,VNINDEX
2020-03-25,669.76,690.25,667.58,690.25,209987920,VNINDEX
2020-03-26,689.0,700.76,680.1,694.21,171266480,VNINDEX
2020-03-27,692.54,703.22,682.52,696.06,212622560,VNINDEX
2020-03-30,663.91,665.56,657.36,662.26,194282800,VNINDEX
2020-03-31,669.74,678.64,649.1,662.53,227982260,VNINDEX
2020-04-01,658.8,684.96,657.41,680.23,211013080,VNINDEX
2020-04-03,687.92,701.8,687.92,701.8,197938250,VNINDEX
2020-04-06,716.22,736.75,715.39,736.75,305129360,VNINDEX
2020-04-07,744.97,749.13,730.28,746.69,276656810,VNINDEX
2020-04-08,740.03,748.36,730.12,748.02,203480250,VNINDEX
2020-04-09,751.08,765.87,751.08,760.33,271131720,VNINDEX
2020-04-10,759.08,764.36,751.59,757.94,295272845,VNINDEX
2020-04-13,762.99,774.62,762.53,765.79,200195470,VNINDEX
2020-04-14,769.01,769.53,753.85,767.41,229443390,VNINDEX
2020-04-15,768.05,779.52,768.01,777.22,257498999,VNINDEX
2020-04-16,773.11,781.06,770.91,780.7,217020332,VNINDEX
2020-04-17,786.96,790.95,783.74,789.6,268469130,VNINDEX
2020-04-20,796.17,797.49,786.73,794.97,304660710,VNINDEX
2020-04-21,794.97,794.97,761.96,766.84,368614950,VNINDEX
2020-04-22,752.8,774.94,749.97,768.92,226491930,VNINDEX
2020-04-23,768.92,785.6,768.92,773.91,189443000,VNINDEX
2020-04-24,777.28,778.3,767.31,776.66,226072090,VNINDEX
2020-04-27,780.65,785.74,771.33,771.78,245844760,VNINDEX
2020-04-28,773.31,776.13,763.66,767.21,197231630,VNINDEX
2020-04-29,768.59,772.62,768.19,769.11,211559973,VNINDEX
2020-05-04,766.14,769.73,761.64,762.47,253967720,VNINDEX
2020-05-05,763.22,767.03,760.04,764.16,170757250,VNINDEX
2020-05-06,767.3,782.59,765.37,782.59,210814330,VNINDEX
2020-05-07,785.08,796.54,785.08,796.54,214433830,VNINDEX
2020-05-08,800.32,825.72,800.2,813.73,340156270,VNINDEX
2020-05-11,818.26,828.33,812.48,828.33,269257930,VNINDEX
2020-05-12,827.29,835.95,819.66,835.32,290069940,VNINDEX
2020-05-13,835.32,839.59,815.13,834.21,338667310,VNINDEX
2020-05-14,830.97,836.19,826.17,832.4,274105680,VNINDEX
2020-05-15,835.42,838.47,824.59,827.03,258429320,VNINDEX
2020-05-18,827.49,837.61,823.08,837.01,224260950,VNINDEX
2020-05-19,852.14,854.25,844.15,845.92,293951450,VNINDEX
2020-05-20,843.26,852.91,842.21,852.91,235672860,VNINDEX
2020-05-21,854.93,862.73,854.04,862.73,301190730,VNINDEX
2020-05-22,859.29,860.65,852.08,852.74,265002610,VNINDEX
2020-05-25,852.9,860.45,849.12,859.04,259723410,VNINDEX
2020-05-26,861.47,869.65,860.22,869.13,306514080,VNINDEX
2020-05-27,869.13,875.35,857.48,857.48,354487370,VNINDEX
2020-05-28,858.97,866.17,856.48,861.39,265589230,VNINDEX
2020-05-29,861.59,866.95,859.26,864.47,281746500,VNINDEX
2020-06-01,868.97,878.25,868.97,877.49,395078190,VNINDEX
2020-06-02,879.23,882.73,874.53,874.59,421942698,VNINDEX
2020-06-03,876.73,881.17,874.01,881.17,323411690,VNINDEX
2020-06-04,883.22,888.32,883.22,883.9,393990700,VNINDEX
2020-06-05,883.4,886.59,878.5,886.22,451411820,VNINDEX
2020-06-08,888.7,905.65,888.7,899.92,509361980,VNINDEX
2020-06-09,902.26,904.89,898.87,899.43,451470893,VNINDEX
2020-06-10,898.78,902.69,890.3,900.0,514286390,VNINDEX
2020-06-11,900.48,903.7,867.37,867.37,672740130,VNINDEX
2020-06-12,841.85,863.52,841.44,863.52,582432110,VNINDEX
2020-06-15,867.52,868.16,832.47,832.47,470372440,VNINDEX
2020-06-16,848.86,858.7,844.67,856.13,361060670,VNINDEX
2020-06-17,861.05,861.05,852.27,854.44,311414326,VNINDEX
2020-06-18,850.92,858.03,847.49,855.27,234958560,VNINDEX
2020-06-19,857.77,868.56,857.77,868.56,376330021,VNINDEX
2020-06-22,871.56,872.94,867.37,871.28,331444410,VNINDEX
2020-06-23,871.12,873.2,864.02,868.2,400707460,VNINDEX
2020-06-24,868.2,873.13,857.58,859.71,340133770,VNINDEX
2020-06-25,851.09,856.23,849.65,854.59,285078310,VNINDEX
2020-06-26,859.07,862.59,850.66,851.98,258644960,VNINDEX
2020-06-29,846.26,846.53,826.0,829.36,335977750,VNINDEX
2020-06-30,836.72,840.31,821.92,825.11,308543890,VNINDEX
2020-07-01,827.67,844.26,826.38,843.49,253137605,VNINDEX
2020-07-02,845.66,845.66,838.48,842.38,191000470,VNINDEX
2020-07-03,845.26,848.16,843.25,847.61,173014030,VNINDEX
2020-07-06,851.47,861.85,850.04,861.16,194702704,VNINDEX
2020-07-07,865.46,870.63,863.42,863.42,284435650,VNINDEX
2020-07-08,861.75,865.58,859.98,864.5,184523002,VNINDEX
2020-07-09,867.66,878.36,867.45,876.46,260639310,VNINDEX
2020-07-10,873.7,878.53,867.59,871.21,254960040,VNINDEX
2020-07-13,874.85,876.83,866.99,868.72,204476360,VNINDEX
2020-07-14,865.01,868.11,860.28,868.11,204647390,VNINDEX
2020-07-15,872.8,876.69,869.91,869.91,223583514,VNINDEX
2020-07-16,871.81,876.83,869.25,876.83,221312960,VNINDEX
2020-07-17,873.48,875.07,871.89,872.02,239170238,VNINDEX
2020-07-20,870.66,871.64,861.4,861.4,256105460,VNINDEX
2020-07-21,863.94,864.7,856.94,861.69,216142880,VNINDEX
2020-07-22,862.8,864.0,854.97,855.08,207518780,VNINDEX
2020-07-23,854.92,857.22,851.97,856.75,221114760,VNINDEX
2020-07-24,854.23,854.57,816.65,829.16,437645540,VNINDEX
2020-07-27,794.14,808.74,780.64,785.17,374271440,VNINDEX
2020-07-28,786.72,814.4,786.67,813.36,311090950,VNINDEX
2020-07-29,800.39,800.39,779.82,790.84,311881410,VNINDEX
2020-07-30,796.22,802.97,794.88,801.13,164121470,VNINDEX
2020-07-31,787.78,803.55,786.98,798.39,219713240,VNINDEX
2020-08-03,796.86,814.84,796.47,814.65,245111000,VNINDEX
2020-08-04,822.86,827.57,820.2,827.57,251465920,VNINDEX
2020-08-05,827.54,839.52,820.74,837.8,264925520,VNINDEX
2020-08-06,838.01,844.16,833.56,840.04,233729360,VNINDEX
2020-08-07,840.65,844.33,836.84,841.46,230196640,VNINDEX
2020-08-10,845.11,849.52,843.2,843.2,278296200,VNINDEX
2020-08-11,847.61,847.61,840.35,843.08,226987880,VNINDEX
2020-08-12,844.19,848.54,842.88,846.92,238673880,VNINDEX
2020-08-13,849.96,855.19,849.86,855.05,236272029,VNINDEX
2020-08-14,854.29,860.32,848.38,850.74,285411092,VNINDEX
2020-08-17,848.08,852.05,841.62,850.15,215913300,VNINDEX
2020-08-18,850.15,851.06,845.0,846.43,183415680,VNINDEX
2020-08-19,847.19,853.15,846.22,851.21,214923630,VNINDEX
2020-08-20,851.21,856.99,847.44,848.21,232026013,VNINDEX
2020-08-21,849.99,856.45,849.69,854.78,265128988,VNINDEX
2020-08-24,860.35,868.68,860.35,868.68,346724130,VNINDEX
2020-08-25,870.92,877.57,870.92,874.12,343457338,VNINDEX
2020-08-26,873.62,876.97,871.78,873.47,320901950,VNINDEX
2020-08-27,872.38,875.71,871.93,874.71,279106850,VNINDEX
2020-08-28,878.79,885.86,877.7,878.98,329186611,VNINDEX
2020-08-31,882.13,888.44,879.26,881.65,333538560,VNINDEX
2020-09-01,882.4,892.51,880.79,891.73,285412810,VNINDEX
2020-09-03,898.25,904.32,896.26,903.97,323303440,VNINDEX
2020-09-04,896.02,903.11,893.86,901.54,316184660,VNINDEX
2020-09-07,903.85,905.8,888.25,888.25,382825000,VNINDEX
2020-09-08,891.61,894.58,884.88,890.14,266931640,VNINDEX
2020-09-09,883.68,892.4,881.57,889.32,282232270,VNINDEX
2020-09-10,895.29,896.78,888.82,888.82,283019010,VNINDEX
2020-09-11,888.82,890.98,884.67,888.97,269769740,VNINDEX
2020-09-14,891.89,895.31,891.89,894.57,318951640,VNINDEX
2020-09-15,896.61,898.74,894.66,896.26,344141100,VNINDEX
2020-09-16,897.43,897.58,894.63,897.47,263657740,VNINDEX
2020-09-17,897.47,899.41,890.93,894.04,371973420,VNINDEX
2020-09-18,896.08,902.11,895.82,900.95,303725090,VNINDEX
2020-09-21,904.5,909.78,904.5,907.94,349431690,VNINDEX
2020-09-22,905.9,909.69,902.47,906.19,374630691,VNINDEX
2020-09-23,908.97,913.52,908.97,912.5,324674020,VNINDEX
2020-09-24,910.53,914.51,907.32,908.58,359943690,VNINDEX
2020-09-25,910.78,911.3,905.56,908.27,326127370,VNINDEX
2020-09-28,911.2,913.6,910.04,912.5,384491340,VNINDEX
2020-09-29,916.63,917.49,903.98,903.98,438272690,VNINDEX
2020-09-30,904.34,907.0,900.44,905.21,310404060,VNINDEX
2020-10-01,910.13,914.09,909.13,914.09,330901620,VNINDEX
2020-10-02,914.09,916.67,897.72,909.91,506547870,VNINDEX
2020-10-05,913.77,915.55,910.96,914.68,420781580,VNINDEX
2020-10-06,918.11,918.93,912.77,915.67,477253805,VNINDEX
2020-10-07,913.62,923.57,912.69,919.72,501764946,VNINDEX
2020-10-08,922.08,922.08,913.89,918.84,446430000,VNINDEX
2020-10-09,919.48,924.0,917.7,924.0,343816560,VNINDEX
2020-10-12,930.78,933.13,923.28,925.83,415587766,VNINDEX
2020-10-13,926.76,930.96,923.78,929.86,323002072,VNINDEX
2020-10-14,931.89,940.18,931.89,940.18,386796943,VNINDEX
2020-10-15,945.28,945.93,938.7,942.76,439631740,VNINDEX
